City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Beruwala,LK,2022-05-22 20:04:28,6.4788,79.9828,26.34,86,25,4.26
1,Dikson,RU,2022-05-22 20:04:28,73.5069,80.5464,-6.4,92,48,3.51
2,Poum,NC,2022-05-22 20:04:28,-20.2333,164.0167,25.97,78,0,5.08
3,Vila Velha,BR,2022-05-22 20:00:18,-20.3297,-40.2925,22.16,70,52,2.24
4,Thunder Bay,CA,2022-05-22 19:59:37,48.4001,-89.3168,10.99,40,100,4.12
5,Kloulklubed,PW,2022-05-22 20:04:29,7.0419,134.2556,23.28,77,100,3.99
6,Nieuw Amsterdam,SR,2022-05-22 20:04:29,5.8833,-55.0833,26.01,86,40,0.0
7,Vaini,TO,2022-05-22 20:04:29,-21.2,-175.2,25.27,82,55,6.39
8,Hobart,AU,2022-05-22 20:00:18,-42.8794,147.3294,10.14,86,100,4.12
9,Necochea,AR,2022-05-22 20:00:30,-38.5473,-58.7368,14.77,51,100,5.31
10,Emerald,AU,2022-05-22 19:59:51,-23.5333,148.1667,15.19,88,58,5.33
11,Havre-Saint-Pierre,CA,2022-05-22 20:04:30,50.2334,-63.5986,9.2,81,100,3.6
12,Saint George,US,2022-05-22 20:04:31,37.1041,-113.5841,29.79,10,0,4.63
13,Torbay,CA,2022-05-22 20:04:31,47.6666,-52.7314,16.27,41,68,5.16
14,Piuma,BR,2022-05-22 20:00:06,-20.8378,-40.7219,20.71,79,38,2.27
15,Barrow,US,2022-05-22 20:00:03,71.2906,-156.7887,-4.93,89,21,4.07
16,Hamilton,US,2022-05-22 20:04:31,39.1834,-84.5333,20.99,66,75,5.14
17,Hithadhoo,MV,2022-05-22 20:04:32,-0.6,73.0833,28.78,72,95,5.27
18,Rikitea,PF,2022-05-22 20:02:30,-23.1203,-134.9692,24.27,77,9,6.18
19,Castro,BR,2022-05-22 20:00:37,-24.7911,-50.0119,14.8,64,2,1.88
20,Geraldton,AU,2022-05-22 20:04:32,-28.7667,114.6,19.23,68,40,8.23
21,Cayenne,GF,2022-05-22 20:00:12,4.9333,-52.3333,26.72,1,0,1.03
22,Oussouye,SN,2022-05-22 20:04:33,12.485,-16.5469,24.56,68,76,5.22
23,Kapaa,US,2022-05-22 20:04:33,22.0752,-159.319,26.99,83,75,5.14
24,Shadegan,IR,2022-05-22 20:04:33,30.6497,48.6647,34.39,9,0,5.62
25,Killybegs,IE,2022-05-22 20:04:34,54.6333,-8.45,12.84,87,14,6.05
26,Lakatoro,VU,2022-05-22 20:04:34,-16.0999,167.4164,25.69,85,11,0.93
27,Yashkul,RU,2022-05-22 20:04:34,46.1711,45.3435,15.84,73,72,3.87
28,Nanortalik,GL,2022-05-22 20:04:35,60.1432,-45.2371,3.09,98,100,2.57
29,Cherskiy,RU,2022-05-22 20:04:35,68.75,161.3,11.09,51,82,7.67
30,Shahr-E Babak,IR,2022-05-22 20:04:35,30.1165,55.1186,19.66,15,0,3.54
31,Hasaki,JP,2022-05-22 20:04:35,35.7333,140.8333,14.22,87,100,4.49
32,Bredasdorp,ZA,2022-05-22 20:03:42,-34.5322,20.0403,13.25,91,58,2.45
33,Qaanaaq,GL,2022-05-22 20:03:49,77.484,-69.3632,-3.75,78,100,2.32
34,Bluff,NZ,2022-05-22 20:01:20,-46.6,168.3333,10.29,74,100,11.61
35,Stykkisholmur,IS,2022-05-22 20:04:36,65.0757,-22.7297,6.43,69,13,3.36
36,Carnarvon,AU,2022-05-22 20:04:36,-24.8667,113.6333,21.35,58,32,7.64
37,Atuona,PF,2022-05-22 20:03:36,-9.8,-139.0333,25.28,81,30,8.02
38,Ancud,CL,2022-05-22 20:04:37,-41.8697,-73.8203,9.24,68,2,6.17
39,Manavalakurichi,IN,2022-05-22 20:04:37,8.1333,77.3,25.64,86,80,6.22
40,Busselton,AU,2022-05-22 20:04:37,-33.65,115.3333,16.33,66,83,11.06
41,Kodinsk,RU,2022-05-22 20:04:37,58.6881,99.1844,5.76,94,3,0.54
42,New Norfolk,AU,2022-05-22 20:04:38,-42.7826,147.0587,9.95,85,68,0.95
43,Kavieng,PG,2022-05-22 20:04:38,-2.5744,150.7967,28.04,68,13,7.49
44,Ushuaia,AR,2022-05-22 20:02:13,-54.8,-68.3,2.17,78,63,1.08
45,Victoria,HK,2022-05-22 20:05:38,22.2855,114.1577,24.54,91,100,7.15
46,Zhigansk,RU,2022-05-22 20:05:39,66.7697,123.3711,3.05,73,100,2.29
47,Cape Town,ZA,2022-05-22 20:02:16,-33.9258,18.4232,17.99,83,66,0.45
48,Punta Arenas,CL,2022-05-22 20:05:39,-53.15,-70.9167,4.06,65,75,5.66
49,Mataura,NZ,2022-05-22 20:04:59,-46.1927,168.8643,6.82,90,100,3.46
50,Upernavik,GL,2022-05-22 20:05:39,72.7868,-56.1549,0.24,100,100,4.09
51,Inta,RU,2022-05-22 20:05:40,66.0317,60.1659,1.07,93,100,9.22
52,Merauke,ID,2022-05-22 20:05:40,-8.4667,140.3333,26.14,84,24,5.43
53,Souillac,MU,2022-05-22 20:05:40,-20.5167,57.5167,23.14,72,8,5.87
54,Mayo,US,2022-05-22 20:05:42,38.8876,-76.5119,33.23,63,0,4.63
55,Sioux Lookout,CA,2022-05-22 20:03:30,50.1001,-91.917,12.1,32,82,3.76
56,Nome,US,2022-05-22 20:05:42,64.5011,-165.4064,19.04,21,0,8.23
57,Ribeira Grande,PT,2022-05-22 20:05:43,38.5167,-28.7,19.22,94,75,0.51
58,Mehamn,NO,2022-05-22 20:05:43,71.0357,27.8492,4.95,87,0,4.12
59,Esperance,AU,2022-05-22 20:02:33,-33.8667,121.9,16.77,78,14,4.94
60,Tavatuy,RU,2022-05-22 20:05:44,57.0703,60.1336,2.44,90,98,3.91
61,Khorramshahr,IR,2022-05-22 20:05:44,30.4397,48.1664,31.97,8,0,4.21
62,Yulara,AU,2022-05-22 20:05:44,-25.2406,130.9889,13.82,44,100,3.21
63,Lebu,CL,2022-05-22 20:03:54,-37.6167,-73.65,11.18,84,100,4.54
64,Tiksi,RU,2022-05-22 20:05:45,71.6872,128.8694,-1.21,89,96,2.18
65,Thompson,CA,2022-05-22 20:05:45,55.7435,-97.8558,18.52,20,100,5.35
66,Jacareacanga,BR,2022-05-22 20:05:45,-6.2222,-57.7528,31.86,47,14,1.63
67,Remedios,CU,2022-05-22 20:05:46,22.4947,-79.5458,31.51,74,100,7.74
68,Puerto Ayora,EC,2022-05-22 20:05:46,-0.7393,-90.3518,25.98,77,65,4.95
69,Nikolskoye,RU,2022-05-22 20:05:46,59.7035,30.7861,4.95,58,9,1.23
70,Port Lincoln,AU,2022-05-22 20:05:47,-34.7333,135.8667,16.17,78,100,4.39
71,Hilo,US,2022-05-22 20:04:48,19.7297,-155.09,30.71,67,75,5.14
72,Gloversville,US,2022-05-22 20:05:47,43.0528,-74.3438,31.17,60,0,3.09
73,Mahebourg,MU,2022-05-22 20:05:09,-20.4081,57.7,22.36,68,19,6.57
74,Bahir Dar,ET,2022-05-22 20:05:47,11.5936,37.3908,21.46,58,47,2.86
75,East London,ZA,2022-05-22 20:04:54,-33.0153,27.9116,15.99,84,3,1.99
76,Jamestown,US,2022-05-22 20:05:48,42.097,-79.2353,14.18,92,100,5.66
77,Vardo,NO,2022-05-22 20:05:48,70.3705,31.1107,2.99,87,75,6.69
78,Bernay,FR,2022-05-22 20:05:48,49.1667,0.6667,18.93,78,100,2.29
79,Georgetown,MY,2022-05-22 20:01:29,5.4112,100.3354,26.96,89,20,0.0
80,Luderitz,NA,2022-05-22 20:02:30,-26.6481,15.1594,14.82,66,21,3.2
81,Sola,VU,2022-05-22 20:02:33,-13.8833,167.55,27.32,75,26,1.7
82,Esfahan,IR,2022-05-22 20:05:49,32.6572,51.6776,19.8,14,0,2.74
83,Broome,US,2022-05-22 20:05:49,42.2506,-75.833,24.49,92,68,6.6
84,Bathsheba,BB,2022-05-22 20:05:49,13.2167,-59.5167,29.34,70,40,7.72
85,Voyvozh,RU,2022-05-22 20:05:50,62.892,54.9635,0.0,98,100,3.52
