City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,12.51,80,40,1.54,scattered clouds
1,Atuona,PF,-9.8,-139.0333,25.91,78,11,8.11,few clouds
2,Upernavik,GL,72.7868,-56.1549,-0.77,90,100,6.34,overcast clouds
3,Urubicha,BO,-15.3833,-62.95,20.81,87,100,0.36,overcast clouds
4,Carnarvon,AU,-24.8667,113.6333,21.98,57,0,6.11,clear sky
5,Butaritari,KI,3.0707,172.7902,27.59,81,100,5.74,light rain
6,Plettenberg Bay,ZA,-34.0527,23.3716,18.47,63,7,1.34,clear sky
7,Ushuaia,AR,-54.8,-68.3,0.81,69,40,3.6,scattered clouds
8,Rincon,US,32.296,-81.2354,27.14,94,100,1.54,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,0.06,86,20,6.17,few clouds
10,Gat,IL,31.61,34.7642,26.55,37,0,7.4,clear sky
11,Lebu,CL,-37.6167,-73.65,8.38,82,100,1.31,overcast clouds
12,Gualeguay,AR,-33.1416,-59.3097,14.01,82,100,2.98,overcast clouds
13,Sao Joao Da Barra,BR,-21.6403,-41.0511,22.05,68,45,2.99,scattered clouds
14,Bredasdorp,ZA,-34.5322,20.0403,22.26,42,100,3.45,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,24.0,78,17,5.81,few clouds
16,Canutama,BR,-6.5339,-64.3831,28.22,65,85,1.36,overcast clouds
17,Port Blair,IN,11.6667,92.75,29.02,84,75,4.63,mist
18,Dawson Creek,CA,55.7666,-120.2362,9.8,37,0,1.03,clear sky
19,Tiksi,RU,71.6872,128.8694,-0.57,98,97,1.44,overcast clouds
20,Lavrentiya,RU,65.5833,-171.0,1.55,72,100,0.84,overcast clouds
21,Potiskum,NG,11.7091,11.0694,38.87,11,7,3.89,clear sky
22,Cape Town,ZA,-33.9258,18.4232,20.62,66,0,6.17,clear sky
23,Ribeira Grande,PT,38.5167,-28.7,18.22,94,75,3.09,broken clouds
24,Hermanus,ZA,-34.4187,19.2345,19.89,64,100,6.38,overcast clouds
25,Albany,US,42.6001,-73.9662,14.82,67,100,3.76,overcast clouds
26,Hobart,AU,-42.8794,147.3294,7.81,90,20,2.57,few clouds
27,Neryungri,RU,56.6709,124.6491,2.58,90,1,2.19,clear sky
28,Valley City,US,46.9233,-98.0032,8.29,87,0,4.12,clear sky
29,Coquimbo,CL,-29.9533,-71.3436,11.85,76,0,2.57,clear sky
30,Barrow,US,71.2906,-156.7887,-5.99,93,100,6.17,overcast clouds
31,Daru,PG,-9.0763,143.2092,26.93,80,90,5.27,overcast clouds
32,Brae,GB,60.3964,-1.353,11.62,73,38,4.22,scattered clouds
33,Itoman,JP,26.1247,127.6694,21.01,92,75,10.29,moderate rain
34,Tuktoyaktuk,CA,69.4541,-133.0374,-7.0,86,100,5.66,overcast clouds
35,Pisco,PE,-13.7,-76.2167,16.68,88,100,2.57,mist
36,Mataura,NZ,-46.1927,168.8643,11.38,80,100,3.18,overcast clouds
37,Lawrenceville,US,33.9562,-83.988,19.83,91,75,2.06,moderate rain
38,Tessalit,ML,20.1986,1.0114,38.4,14,0,8.32,clear sky
39,Zyryanka,RU,65.75,150.85,8.43,89,100,4.48,light rain
40,Edd,ER,13.9297,41.6925,32.86,59,5,8.13,clear sky
41,Ocampo,MX,21.65,-101.5,14.5,79,11,1.63,few clouds
42,Sur,OM,22.5667,59.5289,33.04,54,0,1.67,clear sky
43,Yellowknife,CA,62.456,-114.3525,-0.71,86,75,1.54,broken clouds
44,Price,US,39.5994,-110.8107,5.62,41,0,3.6,clear sky
45,Iqaluit,CA,63.7506,-68.5145,-8.15,67,100,6.17,overcast clouds
46,Castro,BR,-24.7911,-50.0119,15.21,60,100,2.1,overcast clouds
47,Caconda,AO,-13.7333,15.0667,25.09,28,0,1.81,clear sky
48,Pingxiang,CN,27.6167,113.85,18.38,97,100,1.12,overcast clouds
49,Mahebourg,MU,-20.4081,57.7,25.16,73,75,4.63,broken clouds
50,Healdsburg,US,38.6105,-122.8692,16.06,57,0,5.66,clear sky
51,Bluff,NZ,-46.6,168.3333,11.56,79,91,10.87,overcast clouds
52,Srednekolymsk,RU,67.45,153.6833,11.88,59,100,2.74,overcast clouds
53,Tasiilaq,GL,65.6145,-37.6368,1.09,99,100,5.44,snow
54,Kismayo,SO,-0.3582,42.5454,28.22,76,100,7.39,overcast clouds
55,Hilo,US,19.7297,-155.09,22.38,86,100,3.13,overcast clouds
56,College,US,64.8569,-147.8028,6.99,58,20,5.66,few clouds
57,Cidreira,BR,-30.1811,-50.2056,16.8,65,0,2.48,clear sky
58,Santa Teresa,VE,10.2341,-66.6631,28.84,64,100,0.53,overcast clouds
59,Najran,SA,17.4924,44.1277,38.36,6,0,5.92,clear sky
60,Carutapera,BR,-1.195,-46.02,26.47,88,97,1.63,overcast clouds
61,Saint-Philippe,RE,-21.3585,55.7679,24.77,81,28,5.11,scattered clouds
62,Kasongo-Lunda,CD,-6.4667,16.8167,28.07,62,100,2.19,overcast clouds
63,Chapais,CA,49.7834,-74.8492,5.88,62,10,2.13,clear sky
